"birthyr","draftnumber","conscripted","crimerate","argentine","indigenous","naturalized"
1958,893,0.773504257202148,0.0920984148979187,1,0,0
1958,383,0.694835662841797,0.069073811173439,1,0,0
1958,911,0.718309879302979,0.0598639696836472,1,0,0
1958,364,0.698275864124298,0.069073811173439,1,0,0
1958,267,0.631111085414886,0.0506541281938553,1,0,0
1958,636,0.719626188278198,0.069073811173439,1,0,0
1958,582,0.73199999332428,0.105913177132607,1,0,0
1958,689,0.661087870597839,0.0552590489387512,0.995535731315613,0,0.00446428591385484
1958,759,0.768181800842285,0.0506541281938553,1,0,0
1958,339,0.708154499530792,0.0644688904285431,0.995535731315613,0.00446428591385484,0
1958,603,0.720647752285004,0.0552590489387512,1,0,0
1958,669,0.709090888500214,0.0552590489387512,0.995238065719604,0.00476190494373441,0
1958,445,0.683982670307159,0.0644688904285431,0.995412826538086,0.00458715576678514,0
